user,item,rating
0,330,3.5
0,333,0.5
0,334,1.0
0,335,4.0
0,336,3.0
0,337,4.0
0,338,2.5
0,339,2.0
0,340,3.0
0,341,4.0
0,342,1.5
0,343,1.0
0,344,4.0
0,345,3.0
0,346,3.0
0,347,4.0
0,348,2.0
0,349,2.5
0,350,4.0
0,351,2.0
0,352,2.0
0,353,4.0
0,354,4.0
0,355,0.5
0,356,4.0
0,357,4.0
0,358,1.0
0,359,4.0
0,360,4.0
0,361,0.5
0,362,4.0
0,363,4.0
0,364,2.5
0,365,2.5
0,366,0.5
0,367,4.0
0,368,4.0
0,369,0.5
0,370,4.0
0,371,0.5
0,372,4.0
0,373,4.0
0,374,4.0
0,375,3.0
0,376,4.0
0,377,2.5
0,378,2.5
0,379,3.5
0,380,0.5
0,381,3.5
0,382,4.0
0,383,2.0
0,384,3.5
0,385,2.5
0,386,3.5
0,387,3.0
0,388,3.5
0,389,3.5
0,390,0.5
0,391,3.5
0,392,1.0
0,393,3.0
0,394,4.0
0,395,2.5
0,396,3.0
0,397,0.5
0,398,2.0
0,399,3.0
0,400,3.0
0,401,4.0
0,402,0.5
0,403,3.0
0,404,4.0
0,405,4.0
0,406,3.0
0,407,1.0
0,408,2.5
0,409,2.0
0,410,3.5
0,411,3.5
0,412,2.5
0,413,4.0
0,414,0.5
0,415,4.0
0,416,2.5
0,417,4.0
0,418,3.5
0,419,4.0
0,420,1.5
0,421,3.0
0,422,4.0
0,423,4.0
0,424,1.5
0,425,4.0
0,426,3.5
0,427,3.5
0,428,2.0
0,429,4.0
0,430,3.5
0,431,1.5
0,432,4.0
0,433,1.5
0,434,4.0
0,435,1.5
0,436,3.0
0,437,4.0
0,438,3.0
0,439,3.5
0,440,3.0
0,441,4.0
0,442,4.0
0,443,3.5
0,444,2.0
0,445,1.0
0,446,0.5
0,447,2.0
0,448,3.5
0,449,2.5
0,450,2.5
0,451,4.0
0,452,3.0
0,453,2.0
0,454,1.0
0,455,2.5
0,456,3.0
0,457,2.5
0,458,4.0
0,459,4.0
0,460,4.0
0,461,2.5
0,462,4.0
0,463,3.5
0,464,1.5
0,465,3.0
0,466,4.0
0,467,3.0
0,468,1.0
0,469,3.0
0,470,4.0
0,471,3.0
0,472,3.0
1,325,3.0
1,326,4.0
1,328,2.5
1,331,3.0
1,332,3.0
1,475,4.0
1,479,4.0
1,482,3.0
1,495,3.5
1,496,2.0
2,325,2.0
2,326,3.0
2,327,2.0
2,328,3.0
2,329,3.5
2,330,1.5
2,331,2.0
2,332,3.0
2,336,3.0
2,386,2.5
2,409,3.0
2,473,3.5
2,474,3.5
2,475,2.5
2,477,2.5
2,478,3.0
2,479,2.5
2,480,2.0
2,482,3.5
2,483,3.0
2,493,3.0
2,494,3.0
2,495,3.0
2,496,4.0
2,499,3.0
2,501,3.0
2,503,2.5
2,504,2.0
2,505,3.0
2,506,3.5
2,507,3.0
2,508,3.0
2,509,3.5
2,510,3.5
2,511,2.0
2,512,2.5
2,513,3.0
3,367,0.5
3,481,4.0
3,502,3.5
3,520,3.0
3,521,3.0
3,522,0.5
3,523,0.5
3,524,3.0
3,525,3.0
3,526,3.5
3,527,3.5
3,528,3.5
3,529,2.5
3,530,3.0
3,531,3.5
3,532,3.0
3,533,3.5
3,534,3.0
3,535,0.5
3,536,3.0
3,537,2.0
3,538,3.0
3,539,4.0
3,540,3.0
3,541,4.0
3,542,3.5
3,543,4.0
3,544,3.5
3,545,3.0
3,546,0.5
3,547,3.5
3,548,3.5
3,549,4.0
3,550,3.0
3,551,2.5
3,552,3.5
3,553,3.0
4,325,3.0
4,326,3.5
4,332,2.5
4,473,3.5
4,474,3.0
4,496,2.5
4,554,4.0
5,325,1.5
5,326,3.5
5,328,4.0
5,331,4.0
5,332,2.5
5,474,1.0
5,475,3.0
5,479,3.0
5,495,2.0
5,496,3.5
5,513,3.0
6,325,4.0
6,326,2.0
6,327,3.0
6,328,2.0
6,330,4.0
6,331,3.0
6,332,2.0
6,336,4.0
6,409,4.0
6,473,2.0
6,475,4.0
6,482,4.0
6,494,4.0
6,496,4.0
6,501,4.0
6,513,2.0
7,326,3.0
7,482,2.5
7,555,4.0
7,556,4.0
8,325,4.0
8,326,3.5
8,327,4.0
8,328,4.0
8,329,4.0
8,330,4.0
8,331,3.5
8,332,3.5
8,336,4.0
8,386,3.5
8,409,3.5
8,473,4.0
8,474,4.0
8,475,3.0
8,477,4.0
8,478,4.0
8,479,4.0
8,480,3.5
8,482,3.5
8,483,3.0
8,493,4.0
8,494,4.0
8,495,2.0
8,496,4.0
8,499,4.0
8,501,3.0
8,503,3.5
8,504,3.5
8,505,4.0
8,506,4.0
8,507,4.0
8,508,4.0
8,509,4.0
8,510,3.5
8,511,4.0
8,512,3.5
8,513,3.5
9,325,3.0
9,326,0.5
9,327,2.5
9,328,1.0
9,329,1.5
9,330,1.5
9,331,1.5
9,332,2.0
9,336,3.5
9,386,2.0
9,409,1.0
9,473,1.0
9,474,1.0
9,475,0.5
9,477,1.0
9,478,3.0
9,479,0.5
9,480,1.5
9,482,3.5
9,483,0.5
9,493,1.0
9,494,1.0
9,495,2.0
9,496,3.5
9,499,0.5
9,501,1.5
9,503,1.0
9,504,1.0
9,505,1.5
9,506,1.0
9,507,1.0
9,508,1.0
9,509,1.0
9,510,2.0
9,511,0.5
9,512,0.5
9,513,1.5
10,329,4.0
10,331,3.0
10,332,2.5
10,336,4.0
10,386,3.5
10,475,2.5
10,479,3.5
10,495,3.0
10,496,4.0
10,501,3.0
10,511,3.0
10,513,3.0
11,328,4.0
11,330,3.5
11,331,4.0
11,475,4.0
12,328,1.5
12,331,1.0
12,509,4.0
12,512,3.5
13,330,3.5
13,331,4.0
13,479,3.0
14,325,2.5
14,326,4.0
14,327,3.0
14,328,2.5
14,329,2.5
14,330,4.0
14,331,3.5
14,332,3.5
14,336,3.0
14,386,4.0
14,409,3.5
14,473,4.0
14,474,4.0
14,475,4.0
14,477,3.5
14,478,3.0
14,479,3.5
14,480,3.5
14,482,3.5
14,483,3.0
14,493,3.0
14,494,3.5
14,495,3.5
14,496,3.5
14,499,3.5
14,501,4.0
14,503,2.0
14,504,3.0
14,505,3.5
14,506,4.0
14,507,2.5
14,508,4.0
14,509,4.0
14,510,4.0
14,511,4.0
14,512,4.0
14,513,3.5
16,561,1.0
16,579,4.0
17,331,3.5
18,325,3.0
18,326,4.0
18,327,3.0
18,328,4.0
18,329,3.5
18,330,3.5
18,331,4.0
18,332,3.0
18,336,2.5
18,386,3.0
18,409,3.0
18,473,2.5
18,474,4.0
18,475,3.0
18,477,2.5
18,478,2.0
18,479,4.0
18,480,3.5
18,482,3.0
18,483,3.0
18,493,2.5
